appendix;page;row_num;plot_num_plan;cadastral_number;storeys;address;area_cadastral_m2;area_preliminary_m2;area_use_right_m2;area_withdrawal_m2;land_category;land_use_type;notes;restrictions;easement_area_m2;compensation_sum
3;51;106;111;90:11:130701:132;Частная;Республика Крым, Сакский район, Лесновский сельский совет, за границами населенного пункта, земельный участок № 14;10000.0;4885.0;4655.0;230.0;Земли сельскохозяйственного назначения;Ведения личного подсобного хозяйства на полевых участках;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;107;112;90:11:130701:1330;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 49;1000.0;1000.0;860.0;140.0;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;108;113;90:11:130701:134;Частная;Республика Крым, р-н Сакский, с/с Лесновский;897.0;897.0;411.0;486.0;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;109;115;90:11:130701:147;Частная;Российская Федерация, Республика Крым,Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 102;1000.0;73.0;73.0;;Земли сельскохозяйственного назначения;Ведение садоводства;;;;
3;52;110;118;90:11:130701:172;Частная;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, улица Дачная, земельный участок 100;1000.0;73.0;73.0;;Земли сельскохозяйственного назначения;Ведение садоводства;;;;
3;52;111;120;90:11:130701:177;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок №18;1000.0;18.0;18.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;52;112;122;90:11:130701:1898;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;1000.0;913.0;87.0;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;113;124;90:11:130701:1900;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;1000.0;865.0;135.0;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;114;125;90:11:130701:1901;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;1000.0;887.0;113.0;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;115;126;90:11:130701:1902;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;1000.0;876.0;124.0;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;52;116;127;90:11:130701:1903;Частная;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;1000.0;900.0;100.0;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;53;117;158;90:11:130701:2666;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;736.0;736.0;368.0;368.0;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;53;118;159;90:11:130701:2667;Частная;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;760.0;760.0;380.0;380.0;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;;;
3;53;119;163;90:11:130701:286;Частная;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, ул. Дачная, земельный участок №165;1000.0;111.0;111.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;90:11:130701:2208 Жилой дом;163.0;Частная
3;53;120;164;90:11:130701:32;Частная;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 176;1000.0;91.0;91.0;;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;;;;
3;53;121;165;90:11:130701:346;Частная;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 82;1000.0;1000.0;787.0;213.0;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Изымается часть земельного участка за границами полосы постоянного отвода, т.к. ее размеры не удовлетворяют предельно минимальным для данного вида разрешенного использования (согласно нормам Закона Республики Крым от 15 января 2015 г. N 66-ЗРК/2015).;90:11:130701:3806 Жилой дом;53.9;Частная
