appendix;page;row_num;plot_num_plan;point_nums;cadastral_designation;address;area_egrn_m2;land_category;vri_current;land_category_new;vri_new;area_formed_m2;public_territory;formation_method
1;15;72;105(1);1-4;90:11:130701:1268:ЗУ1;Республика Крым, Сакский р-н, Лесновский с/с;1000.0;Земли сельскохозяйственно го назначения;Ведения дачного хозяйства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;59.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1268, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;15;73;105(2);1-4;90:11:130701:1268;Республика Крым, Сакский р-н, Лесновский с/с, уч 130;1000.0;Земли сельскохозяйственно го назначения;Ведения дачного хозяйства;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;941.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;15;74;106(1);1-4;90:11:130701:1269:ЗУ1;Республика Крым, Сакский р-н, Лесновское сельское поселение, Прибрежное село, Дачная улица;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;869.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1269, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;15;75;106(2);1-4;90:11:130701:1269;Республика Крым, Сакский р-н, Лесновское сельское поселение, Прибрежное село, Дачная улица, уч 37;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли сельскохозяйственного назначения;Ведение садоводства;131.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;15;76;107(1);1-5;90:11:130701:1270:ЗУ1;Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, Прибрежное село, Дачная улица;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;731.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1270, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;15;77;107(2);1-5;90:11:130701:1270;Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, Прибрежное село, Дачная улица, земельный участок 39;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли сельскохозяйственного назначения;Ведение садоводства;269.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;16;78;108(1);1-4;90:11:130701:1303:ЗУ1;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;362.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1303, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;16;79;108(2);1-4;90:11:130701:1303;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 88;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли сельскохозяйственного назначения;Ведение садоводства;638.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;16;80;111(1);1-5;90:11:130701:132:ЗУ1;Республика Крым, Сакский район, Лесновский сельский совет, за границами населенного пункта;10000.0;Земли сельскохозяйственно го назначения;Ведения личного подсобного хозяйства на полевых участках;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;4655.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:132, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;16;81;111(2);1-5;90:11:130701:132:ЗУ2;Республика Крым, Сакский район, Лесновский сельский совет, за границами населенного пункта;10000.0;Земли сельскохозяйственно го назначения;Ведения личного подсобного хозяйства на полевых участках;Земли сельскохозяйственного назначения;Ведения личного подсобного хозяйства на полевых участках;230.0;;Образуемый земельный участок расположен за границами зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:132, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;16;82;111(3);1-5;90:11:130701:132;Республика Крым, Сакский район, Лесновский сельский совет, за границами населенного пункта, земельный участок № 14;10000.0;Земли сельскохозяйственно го назначения;Ведения личного подсобного хозяйства на полевых участках;Земли сельскохозяйственного назначения;Ведения личного подсобного хозяйства на полевых участках;5115.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;16;83;112(1);1-4;90:11:130701:1330:ЗУ1;Республика Крым, Сакский р-н, Лесновский с/с;1000.0;Земли сельскохозяйственно го назначения;Ведения дачного хозяйства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;860.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1330, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;16;84;112(2);1-4;90:11:130701:1330;Республика Крым, Сакский р-н, Лесновский с/с, уч 49;1000.0;Земли сельскохозяйственно го назначения;Ведения дачного хозяйства;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;140.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;16;85;113(1);1-4;90:11:130701:134:ЗУ1;Республика Крым, р-н Сакский, с/с Лесновский;897.0;Земли сельскохозяйственно го назначения;Размещение дачных домов и садовых домов;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;411.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:134, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;16;86;113(2);1-4;90:11:130701:134;Республика Крым, р-н Сакский, с/с Лесновский;897.0;Земли сельскохозяйственно го назначения;Размещение дачных домов и садовых домов;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;486.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;16;87;115(1);1-4;90:11:130701:147:ЗУ1;Российская Федерация, Республика Крым,Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;73.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:147, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;17;88;115(2);1-4;90:11:130701:147;Российская Федерация, Республика Крым,Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 102;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли сельскохозяйственного назначения;Ведение садоводства;927.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;17;89;118(1);1-4;90:11:130701:172:ЗУ1;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, улица Дачная;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;73.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:172, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;17;90;118(2);1-4;90:11:130701:172;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, с. Прибрежное, улица Дачная, земельный участок 100;1000.0;Земли сельскохозяйственно го назначения;Ведение садоводства;Земли сельскохозяйственного назначения;Ведение садоводства;927.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;17;91;120(1);1-3;90:11:130701:177:ЗУ1;Республика Крым, Сакский район, на территории Лесновского сельского совета;1000.0;Земли сельскохозяйственно го назначения;Размещение дачных домов и садовых домов;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;18.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:177, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;17;92;120(2);1-4;90:11:130701:177;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок №18;1000.0;Земли сельскохозяйственно го назначения;Размещение дачных домов и садовых домов;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;982.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;17;93;122(1);1-4;90:11:130701:1898:ЗУ1;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Земли сельскохозяйственно го назначения;Сельскохозяйственное использование;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;913.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1898, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
1;17;94;122(2);1-4;90:11:130701:1898;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Земли сельскохозяйственно го назначения;Сельскохозяйственное использование;Земли сельскохозяйственного назначения;Сельскохозяйственное использование;87.0;;Земельный участок, раздел которого осуществлен с сохранением земельного участка в измененных границах. Расположен за границами зоны размещения объекта.
1;17;95;124(1);1-4;90:11:130701:1900:ЗУ1;Республика Крым, р-н Сакский, Лесновский сельский совет, за границами населенных пунктов;1000.0;Земли сельскохозяйственно го назначения;Сельскохозяйственное использование;Земли промышленности, энергетики, транспорта, связи, радиовещания, телевидения, информатики, земли для обеспечения космической деятельности, земли обороны, безопасности и земли иного специального назначения;Автомобильный транспорт;865.0;;Образуемый земельный участок расположен в границах зоны размещения объекта.Способ образования - путем раздела исходного земельного участка с кадастровым номером 90:11:130701:1900, при этом земельный участок, раздел которого осуществлен, сохраняется в измененных границах (измененный земельный участок).
