appendix;page;row_num;plot_num_plan;cadastral_number;address;area_cadastral_m2;storeys;land_category;land_use_type;notes
2;38;38;38;90:11:130701:2593;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;38;39;39;90:11:130701:2594;Республика Крым, Сакский район, Лесновский сельский совет, за границами населённого пункта;400.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;40;40;90:11:130701:2618;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;41;41;90:11:130701:2626;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;42;42;90:11:130701:2627;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;43;43;90:11:130701:2628;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;44;44;90:11:130701:2629;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;45;45;90:11:130701:2630;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;46;46;90:11:130701:2631;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;47;47;90:11:130701:2632;Республика Крым, р-н Сакский, Лесновский с/с, уч 3, за пределами населенного пункта;802.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;48;48;90:11:130701:2660;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;652.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;49;49;90:11:130701:2662;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;50;50;90:11:130701:2663;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;51;51;90:11:130701:2669;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;52;52;90:11:130701:2670;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;53;53;90:11:130701:2673;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;54;54;90:11:130701:280;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный участок № 62;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;55;55;90:11:130701:378;Республика Крым, район Сакский, село Прибрежное, улица Дачная, 172;1000.0;Частная;Земли населенных пунктов;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;56;56;90:11:130701:440;Российская Федерация, Республика Крым, Сакский муниципальный район, Лесновское сельское поселение, село Прибрежное, улица Дачная, земельный участок 164;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;57;57;90:11:130701:45;Республика Крым, р-н Сакский, на территории Лесновского сельского совета, индивидуальный участок № 21;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;58;58;90:11:130701:667;Республика Крым, р-н Сакский, на территории Лесновского сельского совета;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;59;59;90:11:130701:679;Российская Федерация, Республика Крым, муниципальный район Сакский, сельское поселение Лесновское, село Прибрежное, улица Дачная, земельный участок 176;1000.0;Частная;Земли сельскохозяйственного назначения;Ведение дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;39;60;60;90:11:130701:92;Республика Крым, Сакский район, на территории Лесновского сельского совета, индивидуальный земельный участок № 178;1000.0;Частная;Земли сельскохозяйственного назначения;Размещение дачных домов и садовых домов;Существующий земельный участок полностью расположен в границах зоны размещения объекта. 39
2;40;61;61;90:18:010175:107;Республика Крым, Евпатория г, Эскадронная ул;11.0;Сведения отсутствуют;Земли населенных пунктов;Предпринимательство;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;40;62;62;90:11:130701:1308;Республика Крым, Сакский р-н, Лесновский с/с, уч 11;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;40;63;63;90:11:130701:1314;Республика Крым, Сакский р-н, Лесновский с/с, уч 6;1000.0;Сведения отсутствуют;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;40;64;64;90:11:130701:2454;Республика Крым, Сакский р-н, Лесновский с/с;625.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;40;65;65;90:11:130701:2674;Республика Крым, Сакский р-н, Лесновский с/с, уч 6, за пределами населенного пункта;600.0;Частная;Земли сельскохозяйственного назначения;Ведение личного подсобного хозяйства на полевых участках;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;40;66;66;90:11:130701:1190;Республика Крым, Сакский р-н, Лесновский с/с, уч 56;1000.0;Частная;Земли сельскохозяйственного назначения;Ведения дачного хозяйства;Существующий земельный участок полностью расположен в границах зоны размещения объекта.
2;40;67;68;90:18:010176:72;Республика Крым, Евпатория г, Симферопольская ул, уч 1;7837.0;Муниципальная/Арен да;Земли населенных пунктов;Туристическое обслуживание;Существующий земельный участок частично расположен в границах зоны размещения объекта.
2;40;68;69;90:18:010176:78;Республика Крым, Евпатория г, Симферопольская ул, уч 2Ч;3427.0;Муниципальная/Арен да;Земли населенных пунктов;Туристическое обслуживание;Существующий земельный участок частично расположен в границах зоны размещения объекта.
